S no,Date,Region,Cumulative  tests performed,Cumulative  Test positive,Tests  performed in last 24 hours,Still admitted,Discharged,Expired,Home Quarantine,New  (last 24 hrs),Expired status
103,43933,Punjab,36199,2425,1711,765,258,21,1381,2670,Dangerour
104,43933,Sindh,12740,1318,531,343,371,28,576,531,Dangerour
105,43934,AJK,910,40,97,38,2,0,0,97,Normal
106,43934,Balochistan,3906,230,94,40,123,2,65,123,Normal
107,43934,GB,1476,224,68,9,149,3,63,65,Normal
108,43934,ICT,3836,131,266,24,15,1,91,266,Normal
109,43934,KP,3478,744,219,211,145,34,354,73,Dangerour
110,43934,Punjab,38199,2594,1920,832,272,23,1467,875,Dangerour
111,43934,Sindh,13309,1411,569,347,389,30,645,569,Dangerour
112,43935,AJK,992,43,82,39,4,0,0,82,Normal
113,43935,Balochistan,4012,231,106,34,124,2,71,119,Normal
114,43935,GB,1563,233,87,9,155,3,66,91,Normal
115,43935,ICT,3947,131,111,19,15,1,96,111,Normal
116,43935,KP,3793,800,315,211,153,35,401,478,Dangerour
117,43935,Punjab,41781,2826,1925,702,508,24,1592,2490,Dangerour
118,43935,Sindh,13840,1452,531,354,419,31,648,531,Dangerour
119,43936,AJK,1029,46,37,42,4,0,0,37,Normal
120,43936,Balochistan,4100,240,88,20,137,2,81,95,Normal
121,43936,GB,1618,234,55,5,175,3,51,98,Normal
122,43936,ICT,4473,140,120,16,17,1,106,120,Normal
123,43936,KP,4151,865,358,211,178,38,438,305,Dangerour
124,43936,Punjab,43565,2945,1959,759,508,28,1650,2841,Dangerour
125,43936,Sindh,14503,1518,663,443,427,35,613,663,Dangerour
126,43937,AJK,1081,46,52,37,9,0,0,52,Normal
127,43937,Balochistan,4299,280,199,25,140,3,112,72,Normal
128,43937,GB,1664,237,46,5,178,3,51,97,Normal
129,43937,ICT,4824,145,351,17,17,1,110,351,Normal
130,43937,KP,4524,912,373,211,191,42,468,322,Dangerour
131,43937,Punjab,46561,3217,2996,756,550,34,1877,3077,Dangerour
132,43937,Sindh,16026,1668,1523,319,560,41,748,1523,Dangerour
133,43938,AJK,1135,46,54,37,9,0,0,54,Normal
134,43938,Balochistan,4427,303,128,33,142,5,123,120,Normal
135,43938,GB,1826,245,162,5,183,3,54,93,Normal
136,43938,ICT,5150,154,326,22,20,1,111,326,Normal
137,43938,KP,4885,993,361,230,205,45,513,348,Dangerour
138,43938,Punjab,48381,3276,2359,767,630,36,1843,1523,Dangerour
139,43938,Sindh,18900,2008,2874,267,576,45,1120,2874,Dangerour
140,43939,AJK,1175,48,40,39,9,0,0,40,Normal
141,43939,Balochistan,4812,335,385,40,142,5,148,535,Normal
142,43939,GB,2021,250,217,5,192,3,50,381,Normal
143,43939,ICT,5479,163,329,13,20,1,129,329,Normal
144,43939,KP,5311,1077,426,280,216,50,531,382,Dangerour
145,43939,Punjab,52478,3391,2647,787,672,37,1895,1919,Dangerour
146,43939,Sindh,21272,2217,2372,717,581,47,872,2372,Dangerour
147,43940,AJK,1229,48,54,39,9,0,0,54,Normal
148,43940,Balochistan,5085,376,273,51,144,5,176,460,Normal
149,43940,GB,2169,257,2021,5,193,3,56,116,Normal
150,43940,ICT,5857,171,378,15,20,2,134,378,Normal
151,43940,KP,6003,1137,692,294,226,60,557,391,Dangerour
152,43940,Punjab,55241,3649,2763,992,684,41,1932,1954,Dangerour
153,43940,Sindh,22938,2355,1666,764,592,48,951,1666,Dangerour
154,43941,AJK,1275,49,46,39,10,0,0,46,Normal
155,43941,Balochistan,5315,432,230,68,152,5,207,308,Normal
156,43941,GB,2430,263,261,4,194,3,62,228,Normal
157,43941,ICT,5976,181,119,16,20,3,142,119,Normal
158,43941,KP,6544,1235,541,296,267,67,605,559,Dangerour
159,43941,Punjab,58304,3721,2156,1002,702,42,1975,885,Dangerour
160,43941,Sindh,24458,2537,1520,791,625,56,1065,1520,Dangerour
161,43942,AJK,1355,50,80,34,16,0,0,80,Normal
162,43942,Balochistan,5636,465,321,67,161,6,231,598,Normal
163,43942,GB,2604,281,174,4,195,3,79,170,Normal
164,43942,ICT,6224,185,248,14,20,3,148,248,Normal
165,43942,KP,9360,1276,579,328,297,74,577,755,Dangerour
166,43942,Punjab,60649,4195,2345,1151,742,45,2257,1806,Dangerour
167,43942,Sindh,26058,2764,1600,845,635,61,1223,1600,Dangerour
168,43943,AJK,1416,51,6,28,23,0,0,6,Normal
169,43943,Balochistan,6130,552,329,82,168,8,294,619,Normal
170,43943,GB,2859,290,141,10,201,3,76,118,Normal
171,43943,ICT,6931,204,483,8,26,3,167,483,Normal
172,43943,KP,10837,1453,1009,351,414,83,605,704,Dangerour
173,43943,Punjab,66030,4590,2635,1290,790,58,21452,1812,Dangerour
174,43943,Sindh,30346,3373,2097,1010,715,69,1579,2097,Dangerour
175,43944,AJK,1471,55,55,30,0,0,0,55,Normal
176,43944,Balochistan,6504,607,374,79,346,8,0,708,Normal
177,43944,GB,2998,300,182,10,75,3,0,192,Normal
178,43944,ICT,7519,214,588,12,173,3,0,588,Normal
179,43944,KP,11963,1541,1126,373,628,85,0,1126,Dangerour
180,43944,Punjab,67882,4767,1832,1300,2497,65,0,1192,Dangerour
181,43944,Sindh,33028,3671,2682,1063,1805,73,0,2682,Dangerour
182,43945,AJK,1522,55,51,27,0,0,0,51,Normal
183,43945,Balochistan,6742,656,236,77,393,10,0,436,Alert
184,43945,GB,3162,307,164,10,81,3,0,195,Normal
185,43945,ICT,8059,223,540,14,177,3,0,540,Normal
186,43945,KP,13109,1708,1146,409,738,89,12,1146,Dangerour
